student_id,name,age,grade,gender,previous_gpa,test_score,attendance_percentage,assignment_completion,lms_login_frequency,class_participation,behavior_score,risk_score,risk_level
STU-1062,Rahul Sharma,16,Grade 11,Female,3.48,95.9,95.0,93.9,28.2,91.2,94.7,8.8,Low
STU-1063,Swati Singh,15,Grade 10,Male,3.55,95.8,97.7,89.4,16.9,89.9,95.8,10.6,Low
STU-1064,Ananya Reddy,15,Grade 10,Female,3.97,83.4,96.1,91.0,23.8,88.7,96.0,8.7,Low
STU-1065,Vivek Gupta,17,Grade 12,Male,3.67,95.8,92.5,99.9,20.3,91.9,96.1,7.4,Low
STU-1066,Rohan Nair,15,Grade 10,Female,1.46,40.0,53.3,47.7,1.6,39.0,63.8,82.0,High
STU-1067,Nisha Mishra,14,Grade 9,Male,3.82,93.2,90.3,93.4,25.6,96.8,97.9,8.7,Low
STU-1068,Alok Ghosh,15,Grade 10,Female,1.84,48.6,56.5,55.9,4.3,31.6,53.3,74.6,High
STU-1069,Varun Bhat,16,Grade 11,Male,1.77,41.4,56.8,44.3,2.1,41.9,58.8,78.8,High
STU-1070,Lavanya Sharma,17,Grade 12,Female,1.88,35.5,62.7,40.3,3.7,48.9,61.7,75.3,High
STU-1071,Ishaan Pillai,14,Grade 9,Male,2.49,66.7,78.9,69.1,8.4,74.0,77.2,44.7,Medium
STU-1072,Rajesh Verma,17,Grade 12,Female,2.57,68.7,75.1,75.7,8.6,69.1,75.5,44.7,Medium
STU-1073,Harish Kapoor,14,Grade 9,Male,2.56,64.2,76.1,77.5,9.0,66.2,83.9,44.4,Medium
STU-1074,Aarti Das,17,Grade 12,Female,1.81,48.1,49.1,46.5,2.8,31.1,55.3,81.3,High
STU-1075,Aditya Mishra,17,Grade 12,Male,1.79,35.6,65.6,49.5,4.2,45.6,56.2,72.9,High
